city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity,year,month_num,month,year_month,capacity_utilization_pct,aqi_category
Delhi,2020-02-28,93,37.0,76.1,54.9,61.8,8.2,64,10,Urban,594,2020,2,Feb,2020-02,1.68,Moderate
Delhi,2020-02-29,81,8.6,30.1,17.5,39.2,24.1,61,0,Urban,1141,2020,2,Feb,2020-02,0.0,Moderate
Mexico City,2020-03-01,439,32.4,54.5,31.4,41.6,4.4,38,6,Rural,218,2020,3,Mar,2020-03,2.75,Hazardous
Beijing,2020-03-02,3,67.8,72.4,20.0,39.8,32.8,74,12,Urban,1136,2020,3,Mar,2020-03,1.06,Good
Mexico City,2020-03-03,403,27.1,38.2,37.4,51.6,3.5,80,11,Urban,989,2020,3,Mar,2020-03,1.11,Hazardous
Los Angeles,2020-03-04,2,4.9,41.6,38.2,37.7,12.0,79,0,Urban,1966,2020,3,Mar,2020-03,0.0,Good
Mexico City,2020-03-05,240,33.8,61.9,38.4,27.4,10.1,44,0,Suburban,423,2020,3,Mar,2020-03,0.0,Very Unhealthy
Mexico City,2020-03-06,494,68.2,79.2,24.6,46.1,35.0,66,8,Urban,1036,2020,3,Mar,2020-03,0.77,Hazardous
Mexico City,2020-03-07,291,28.2,28.9,18.8,29.3,26.8,61,9,Urban,1051,2020,3,Mar,2020-03,0.86,Very Unhealthy
Beijing,2020-03-08,278,58.4,60.9,37.8,44.0,11.8,85,3,Suburban,1648,2020,3,Mar,2020-03,0.18,Very Unhealthy
Delhi,2020-03-09,316,34.7,54.8,31.3,37.4,32.4,46,8,Suburban,461,2020,3,Mar,2020-03,1.74,Hazardous
Beijing,2020-03-10,253,71.4,66.4,27.1,47.8,38.9,86,9,Rural,641,2020,3,Mar,2020-03,1.4,Very Unhealthy
Delhi,2020-03-11,13,32.5,43.9,23.1,39.5,8.5,89,9,Urban,1632,2020,3,Mar,2020-03,0.55,Good
Beijing,2020-03-12,95,31.7,68.4,14.1,41.5,19.8,64,9,Suburban,239,2020,3,Mar,2020-03,3.77,Moderate
London,2020-03-13,332,44.3,96.6,23.1,41.5,14.3,81,7,Urban,1518,2020,3,Mar,2020-03,0.46,Hazardous
Delhi,2020-03-14,152,25.5,63.4,40.4,33.7,24.9,50,10,Urban,483,2020,3,Mar,2020-03,2.07,Unhealthy
Delhi,2020-03-15,185,29.1,30.3,50.1,45.9,32.7,29,13,Urban,1554,2020,3,Mar,2020-03,0.84,Unhealthy
Delhi,2020-03-16,304,33.0,53.8,18.4,31.1,-3.7,68,7,Rural,612,2020,3,Mar,2020-03,1.14,Hazardous
Delhi,2020-03-17,22,60.7,72.3,24.2,38.0,17.7,37,12,Rural,1396,2020,3,Mar,2020-03,0.86,Good
Mexico City,2020-03-18,74,7.0,38.4,46.8,58.7,23.2,75,7,Urban,661,2020,3,Mar,2020-03,1.06,Moderate
Mexico City,2020-03-19,301,17.2,36.4,30.2,24.8,-1.6,33,6,Urban,1694,2020,3,Mar,2020-03,0.35,Hazardous
Los Angeles,2020-03-20,250,59.0,50.9,18.2,36.0,32.7,74,12,Rural,1113,2020,3,Mar,2020-03,1.08,Very Unhealthy
Mexico City,2020-03-21,329,36.1,50.5,32.2,46.8,14.0,25,14,Urban,799,2020,3,Mar,2020-03,1.75,Hazardous
Beijing,2020-03-22,8,18.8,101.9,19.9,50.0,14.3,45,3,Suburban,1711,2020,3,Mar,2020-03,0.18,Good
London,2020-03-23,316,42.9,51.1,29.2,46.4,17.1,41,12,Urban,474,2020,3,Mar,2020-03,2.53,Hazardous
Delhi,2020-03-24,371,33.7,39.3,20.3,58.9,6.2,79,6,Suburban,1056,2020,3,Mar,2020-03,0.57,Hazardous
Delhi,2020-03-25,491,26.1,67.3,45.8,51.3,-3.7,92,6,Suburban,1348,2020,3,Mar,2020-03,0.45,Hazardous
Delhi,2020-03-26,100,20.9,21.4,41.5,53.9,6.4,41,3,Urban,722,2020,3,Mar,2020-03,0.42,Moderate
Los Angeles,2020-03-27,398,29.4,53.5,41.4,47.9,31.7,26,7,Suburban,778,2020,3,Mar,2020-03,0.9,Hazardous
Beijing,2020-03-28,489,1.5,39.2,24.8,19.2,11.3,51,1,Urban,754,2020,3,Mar,2020-03,0.13,Hazardous
Delhi,2020-03-29,166,26.6,55.7,45.1,42.4,26.4,57,6,Urban,1802,2020,3,Mar,2020-03,0.33,Unhealthy
Beijing,2020-03-30,481,50.3,31.5,28.7,46.5,20.8,83,14,Urban,1828,2020,3,Mar,2020-03,0.77,Hazardous
Delhi,2020-03-31,278,44.7,64.8,60.8,35.4,1.2,80,5,Suburban,317,2020,3,Mar,2020-03,1.58,Very Unhealthy
Mexico City,2020-04-01,46,28.4,69.4,22.9,33.0,23.7,63,5,Suburban,1681,2020,4,Apr,2020-04,0.3,Good
Beijing,2020-04-02,369,14.3,53.6,26.9,46.8,31.2,51,8,Suburban,664,2020,4,Apr,2020-04,1.2,Hazardous
Beijing,2020-04-03,238,26.8,18.4,37.4,38.4,31.5,56,12,Urban,1000,2020,4,Apr,2020-04,1.2,Very Unhealthy
Beijing,2020-04-04,37,0.3,80.8,40.7,37.4,31.1,67,9,Urban,1368,2020,4,Apr,2020-04,0.66,Good
Mexico City,2020-04-05,142,41.0,45.5,42.7,32.6,34.9,33,13,Urban,55,2020,4,Apr,2020-04,23.64,Unhealthy for Sensitive Groups
Beijing,2020-04-06,254,42.5,59.3,22.5,44.6,21.9,52,2,Urban,209,2020,4,Apr,2020-04,0.96,Very Unhealthy
Delhi,2020-04-07,275,46.2,61.5,19.7,38.9,0.5,59,10,Urban,626,2020,4,Apr,2020-04,1.6,Very Unhealthy
Delhi,2020-04-08,232,50.1,47.0,24.9,55.1,-4.8,86,16,Rural,967,2020,4,Apr,2020-04,1.65,Very Unhealthy
Cairo,2020-04-09,285,46.7,50.7,46.5,47.8,22.7,52,4,Urban,1013,2020,4,Apr,2020-04,0.39,Very Unhealthy
Tokyo,2020-04-10,359,35.7,35.4,35.6,51.7,34.6,64,5,Urban,714,2020,4,Apr,2020-04,0.7,Hazardous
Mexico City,2020-04-11,379,27.1,26.8,31.8,45.9,27.5,44,9,Urban,868,2020,4,Apr,2020-04,1.04,Hazardous
Delhi,2020-04-12,251,26.3,33.2,40.8,19.2,22.2,39,9,Suburban,1573,2020,4,Apr,2020-04,0.57,Very Unhealthy
Cairo,2020-04-13,320,33.5,57.1,23.8,17.0,27.3,62,5,Rural,1429,2020,4,Apr,2020-04,0.35,Hazardous
Los Angeles,2020-04-14,418,45.8,74.3,20.8,35.2,37.4,25,9,Rural,553,2020,4,Apr,2020-04,1.63,Hazardous
Los Angeles,2020-04-15,85,20.2,57.3,26.0,37.5,21.6,40,9,Urban,1874,2020,4,Apr,2020-04,0.48,Moderate
Beijing,2020-04-16,189,38.4,84.2,43.8,15.9,17.2,31,6,Suburban,1489,2020,4,Apr,2020-04,0.4,Unhealthy
Delhi,2020-04-17,263,19.3,65.5,27.0,44.7,22.1,48,10,Suburban,473,2020,4,Apr,2020-04,2.11,Very Unhealthy
Delhi,2020-04-18,128,41.4,58.3,39.4,50.1,1.5,65,13,Urban,107,2020,4,Apr,2020-04,12.15,Unhealthy for Sensitive Groups
Tokyo,2020-04-19,469,24.0,73.3,34.7,25.5,34.1,35,6,Urban,1739,2020,4,Apr,2020-04,0.35,Hazardous
Beijing,2020-04-20,270,62.9,48.0,22.4,32.4,-0.2,51,11,Urban,287,2020,4,Apr,2020-04,3.83,Very Unhealthy
Delhi,2020-04-21,16,29.7,66.2,43.1,38.3,34.0,33,3,Urban,1628,2020,4,Apr,2020-04,0.18,Good
Beijing,2020-04-22,64,37.8,52.0,39.4,22.4,27.7,67,4,Rural,1280,2020,4,Apr,2020-04,0.31,Moderate
Mexico City,2020-04-23,21,15.4,56.8,36.3,24.0,30.5,67,2,Suburban,1122,2020,4,Apr,2020-04,0.18,Good
Delhi,2020-04-24,129,42.2,58.2,24.4,35.5,33.8,73,4,Suburban,1013,2020,4,Apr,2020-04,0.39,Unhealthy for Sensitive Groups
London,2020-04-25,123,50.0,34.8,32.4,35.6,15.5,52,13,Urban,1473,2020,4,Apr,2020-04,0.88,Unhealthy for Sensitive Groups
Los Angeles,2020-04-26,69,21.9,40.8,38.5,33.1,14.2,66,11,Rural,1075,2020,4,Apr,2020-04,1.02,Moderate
Los Angeles,2020-04-27,382,33.2,83.7,23.0,38.7,-3.7,40,15,Urban,471,2020,4,Apr,2020-04,3.18,Hazardous
Beijing,2020-04-28,149,20.3,2.9,7.7,46.5,36.7,46,10,Suburban,1709,2020,4,Apr,2020-04,0.59,Unhealthy for Sensitive Groups
Mexico City,2020-04-29,499,31.7,35.3,25.1,21.8,-1.0,50,3,Urban,1394,2020,4,Apr,2020-04,0.22,Hazardous
Mexico City,2020-04-30,40,48.4,82.5,27.1,59.1,29.4,59,7,Suburban,1227,2020,4,Apr,2020-04,0.57,Good
Mexico City,2020-05-01,90,65.1,31.0,35.2,41.7,39.6,27,11,Suburban,1628,2020,5,May,2020-05,0.68,Moderate
Delhi,2020-05-02,325,45.9,69.5,39.9,31.3,22.1,48,10,Urban,1141,2020,5,May,2020-05,0.88,Hazardous
Beijing,2020-05-03,145,16.2,39.3,29.5,39.7,24.1,38,6,Rural,446,2020,5,May,2020-05,1.35,Unhealthy for Sensitive Groups
Delhi,2020-05-04,422,33.3,76.5,27.2,46.8,5.3,25,9,Urban,1620,2020,5,May,2020-05,0.56,Hazardous
Beijing,2020-05-05,431,46.1,66.7,20.6,44.7,31.8,49,11,Urban,1381,2020,5,May,2020-05,0.8,Hazardous
Beijing,2020-05-06,178,11.3,65.7,19.1,49.4,13.7,70,2,Suburban,574,2020,5,May,2020-05,0.35,Unhealthy
Delhi,2020-05-07,325,39.7,54.9,41.1,27.9,5.6,27,10,Urban,1192,2020,5,May,2020-05,0.84,Hazardous
Delhi,2020-05-08,223,37.6,53.5,40.1,40.3,16.3,39,11,Suburban,689,2020,5,May,2020-05,1.6,Very Unhealthy
Mexico City,2020-05-09,155,67.0,27.8,10.6,55.7,5.3,45,13,Urban,276,2020,5,May,2020-05,4.71,Unhealthy
Delhi,2020-05-10,28,35.0,43.8,40.8,30.4,28.5,76,9,Urban,974,2020,5,May,2020-05,0.92,Good
Tokyo,2020-05-11,349,57.2,14.9,34.8,51.9,22.9,36,8,Urban,480,2020,5,May,2020-05,1.67,Hazardous
Mexico City,2020-05-12,153,31.2,38.5,47.2,78.5,28.7,68,3,Urban,113,2020,5,May,2020-05,2.65,Unhealthy
Beijing,2020-05-13,89,45.0,66.1,37.4,41.8,4.4,55,11,Urban,975,2020,5,May,2020-05,1.13,Moderate
Mexico City,2020-05-14,61,40.0,64.9,26.8,34.0,20.3,29,15,Suburban,1110,2020,5,May,2020-05,1.35,Moderate
Delhi,2020-05-15,355,60.6,16.6,14.2,44.8,35.7,52,12,Suburban,589,2020,5,May,2020-05,2.04,Hazardous
Cairo,2020-05-16,190,56.0,49.7,46.3,46.5,21.9,38,11,Suburban,808,2020,5,May,2020-05,1.36,Unhealthy
Beijing,2020-05-17,54,28.2,64.1,40.3,53.2,-0.6,85,13,Suburban,794,2020,5,May,2020-05,1.64,Moderate
Los Angeles,2020-05-18,281,11.9,20.8,26.2,44.9,16.8,77,3,Suburban,596,2020,5,May,2020-05,0.5,Very Unhealthy
Delhi,2020-05-19,286,48.2,71.8,44.1,48.3,7.8,51,6,Suburban,970,2020,5,May,2020-05,0.62,Very Unhealthy
Beijing,2020-05-20,413,60.8,53.1,43.2,13.0,25.2,64,9,Urban,523,2020,5,May,2020-05,1.72,Hazardous
Beijing,2020-05-21,244,12.1,67.0,46.2,38.2,32.4,56,3,Urban,140,2020,5,May,2020-05,2.14,Very Unhealthy
Tokyo,2020-05-22,97,61.5,47.8,26.7,23.8,33.1,63,10,Suburban,368,2020,5,May,2020-05,2.72,Moderate
Mexico City,2020-05-23,218,22.5,35.1,31.4,62.0,11.1,39,6,Urban,1770,2020,5,May,2020-05,0.34,Very Unhealthy
Beijing,2020-05-24,363,55.7,30.9,26.0,20.6,24.3,60,9,Suburban,772,2020,5,May,2020-05,1.17,Hazardous
Delhi,2020-05-25,273,34.5,46.3,26.7,56.7,23.2,51,7,Urban,1000,2020,5,May,2020-05,0.7,Very Unhealthy
Beijing,2020-05-26,137,54.1,75.0,25.2,45.5,11.7,58,5,Urban,505,2020,5,May,2020-05,0.99,Unhealthy for Sensitive Groups
Beijing,2020-05-27,494,41.4,84.6,26.0,46.2,13.3,41,12,Rural,1308,2020,5,May,2020-05,0.92,Hazardous
Beijing,2020-05-28,433,51.3,44.5,32.8,49.1,2.9,40,8,Urban,1673,2020,5,May,2020-05,0.48,Hazardous
Delhi,2020-05-29,267,30.0,78.5,20.8,33.2,0.7,92,11,Urban,234,2020,5,May,2020-05,4.7,Very Unhealthy
London,2020-05-30,402,14.6,73.6,30.3,28.1,36.9,38,5,Urban,141,2020,5,May,2020-05,3.55,Hazardous
Tokyo,2020-05-31,76,51.4,51.4,39.0,21.6,34.7,50,4,Suburban,1884,2020,5,May,2020-05,0.21,Moderate
Delhi,2020-06-01,375,51.9,62.8,21.6,18.4,26.7,66,11,Suburban,863,2020,6,Jun,2020-06,1.27,Hazardous
Mexico City,2020-06-02,95,29.2,34.2,41.1,37.7,34.3,63,8,Urban,1193,2020,6,Jun,2020-06,0.67,Moderate
Delhi,2020-06-03,409,41.5,60.0,27.7,28.4,39.5,65,15,Urban,82,2020,6,Jun,2020-06,18.29,Hazardous
Mexico City,2020-06-04,120,26.7,87.5,32.7,36.0,8.9,71,6,Urban,364,2020,6,Jun,2020-06,1.65,Unhealthy for Sensitive Groups
Delhi,2020-06-05,271,13.9,39.8,48.6,54.5,0.8,23,2,Urban,1662,2020,6,Jun,2020-06,0.12,Very Unhealthy
Mexico City,2020-06-06,365,40.6,33.9,19.5,37.3,-2.7,72,6,Urban,594,2020,6,Jun,2020-06,1.01,Hazardous
Los Angeles,2020-06-07,12,44.7,58.3,28.9,68.6,14.6,74,3,Urban,334,2020,6,Jun,2020-06,0.9,Good
Los Angeles,2020-06-08,92,29.4,65.5,19.7,31.8,-2.9,38,10,Urban,1196,2020,6,Jun,2020-06,0.84,Moderate
Delhi,2020-06-09,110,54.6,69.1,44.5,36.7,15.6,63,14,Suburban,75,2020,6,Jun,2020-06,18.67,Unhealthy for Sensitive Groups
Tokyo,2020-06-10,103,23.1,21.9,48.0,15.0,29.5,23,7,Rural,1381,2020,6,Jun,2020-06,0.51,Unhealthy for Sensitive Groups
Delhi,2020-06-11,393,53.4,16.7,26.5,33.2,39.2,68,9,Urban,1226,2020,6,Jun,2020-06,0.73,Hazardous
Delhi,2020-06-12,489,18.3,21.6,22.7,40.2,37.3,58,9,Suburban,1796,2020,6,Jun,2020-06,0.5,Hazardous
Mexico City,2020-06-13,208,42.2,58.7,28.3,32.7,38.0,93,2,Urban,1565,2020,6,Jun,2020-06,0.13,Very Unhealthy
Beijing,2020-06-14,378,36.7,56.4,35.4,68.8,-3.6,73,7,Urban,1954,2020,6,Jun,2020-06,0.36,Hazardous
London,2020-06-15,112,49.9,27.0,43.4,39.8,24.3,23,8,Urban,1384,2020,6,Jun,2020-06,0.58,Unhealthy for Sensitive Groups
London,2020-06-16,190,41.3,36.9,32.3,26.7,1.6,42,13,Urban,470,2020,6,Jun,2020-06,2.77,Unhealthy
Beijing,2020-06-17,82,41.6,32.3,22.1,23.6,3.5,47,12,Urban,1617,2020,6,Jun,2020-06,0.74,Moderate
Cairo,2020-06-18,292,34.8,81.8,32.2,34.3,17.3,64,8,Urban,1383,2020,6,Jun,2020-06,0.58,Very Unhealthy
Delhi,2020-06-19,144,43.5,59.0,46.5,54.3,35.2,80,6,Urban,597,2020,6,Jun,2020-06,1.01,Unhealthy for Sensitive Groups
Beijing,2020-06-20,233,16.4,33.7,27.2,50.4,28.2,41,4,Urban,1652,2020,6,Jun,2020-06,0.24,Very Unhealthy
Delhi,2020-06-21,336,0.3,64.3,39.0,23.3,29.6,38,3,Suburban,1072,2020,6,Jun,2020-06,0.28,Hazardous
Tokyo,2020-06-22,308,64.9,72.5,15.4,21.6,17.9,24,15,Suburban,722,2020,6,Jun,2020-06,2.08,Hazardous
Delhi,2020-06-23,222,10.0,32.8,19.9,23.3,8.0,33,3,Urban,534,2020,6,Jun,2020-06,0.56,Very Unhealthy
Delhi,2020-06-24,476,62.0,24.8,31.8,34.8,6.5,66,12,Urban,225,2020,6,Jun,2020-06,5.33,Hazardous
Beijing,2020-06-25,444,24.3,52.9,34.3,27.7,19.9,56,4,Suburban,1261,2020,6,Jun,2020-06,0.32,Hazardous
São Paulo,2020-06-26,392,57.6,24.4,43.5,36.4,33.5,42,20,Urban,188,2020,6,Jun,2020-06,10.64,Hazardous
Tokyo,2020-06-27,16,56.3,41.2,34.1,33.2,29.1,35,14,Urban,1448,2020,6,Jun,2020-06,0.97,Good
Los Angeles,2020-06-28,261,33.3,41.5,21.0,25.3,5.0,78,8,Suburban,1537,2020,6,Jun,2020-06,0.52,Very Unhealthy
Tokyo,2020-06-29,492,33.4,46.5,20.1,46.9,-3.8,36,10,Urban,1027,2020,6,Jun,2020-06,0.97,Hazardous
Tokyo,2020-06-30,73,24.9,56.2,18.8,37.5,37.3,54,8,Urban,453,2020,6,Jun,2020-06,1.77,Moderate
Beijing,2020-07-01,279,35.7,61.4,40.7,32.3,23.8,77,5,Rural,1823,2020,7,Jul,2020-07,0.27,Very Unhealthy
Beijing,2020-07-02,31,40.1,72.5,28.9,40.8,21.6,27,6,Urban,1034,2020,7,Jul,2020-07,0.58,Good
Los Angeles,2020-07-03,357,67.3,41.1,27.5,43.9,12.9,49,10,Rural,1179,2020,7,Jul,2020-07,0.85,Hazardous
Mexico City,2020-07-04,243,7.9,34.1,29.6,33.6,7.4,67,4,Suburban,660,2020,7,Jul,2020-07,0.61,Very Unhealthy
Beijing,2020-07-05,121,32.9,47.9,29.4,39.5,8.4,55,9,Urban,852,2020,7,Jul,2020-07,1.06,Unhealthy for Sensitive Groups
Delhi,2020-07-06,33,46.3,19.2,27.3,19.7,39.3,28,10,Urban,251,2020,7,Jul,2020-07,3.98,Good
Los Angeles,2020-07-07,56,15.6,71.2,23.4,18.2,39.3,70,4,Suburban,506,2020,7,Jul,2020-07,0.79,Moderate
Delhi,2020-07-08,490,52.6,53.2,33.3,38.8,16.0,31,8,Suburban,1725,2020,7,Jul,2020-07,0.46,Hazardous
Tokyo,2020-07-09,426,54.3,54.2,15.3,35.8,28.6,56,12,Urban,272,2020,7,Jul,2020-07,4.41,Hazardous
Delhi,2020-07-10,252,47.9,19.7,25.6,54.4,13.3,73,10,Urban,1214,2020,7,Jul,2020-07,0.82,Very Unhealthy
Delhi,2020-07-11,471,29.0,26.5,53.0,39.4,6.2,70,13,Urban,1135,2020,7,Jul,2020-07,1.15,Hazardous
London,2020-07-12,80,48.4,33.3,47.5,43.9,11.1,30,7,Urban,938,2020,7,Jul,2020-07,0.75,Moderate
Delhi,2020-07-13,34,33.0,84.3,21.8,35.4,-3.5,29,13,Suburban,836,2020,7,Jul,2020-07,1.56,Good
Delhi,2020-07-14,116,29.4,58.3,35.1,34.6,31.3,32,11,Urban,256,2020,7,Jul,2020-07,4.3,Unhealthy for Sensitive Groups
Mexico City,2020-07-15,220,47.3,63.2,24.3,63.0,23.2,36,7,Urban,1746,2020,7,Jul,2020-07,0.4,Very Unhealthy
